02122024;220;A;USD;6,0628;6,0634;1,0000;1,0000
03122024;220;A;USD;6,0701;6,0707;1,0000;1,0000
04122024;220;A;USD;6,0575;6,0581;1,0000;1,0000
05122024;220;A;USD;5,9843;5,9849;1,0000;1,0000
06122024;220;A;USD;6,0287;6,0293;1,0000;1,0000
09122024;220;A;USD;6,0564;6,0570;1,0000;1,0000
10122024;220;A;USD;6,0523;6,0529;1,0000;1,0000
11122024;220;A;USD;6,0314;6,0320;1,0000;1,0000
12122024;220;A;USD;5,9402;5,9408;1,0000;1,0000
13122024;220;A;USD;6,0394;6,0400;1,0000;1,0000
16122024;220;A;USD;6,0504;6,0509;1,0000;1,0000
17122024;220;A;USD;6,1679;6,1685;1,0000;1,0000
18122024;220;A;USD;6,1618;6,1624;1,0000;1,0000
19122024;220;A;USD;6,1835;6,1841;1,0000;1,0000
20122024;220;A;USD;6,0774;6,0780;1,0000;1,0000
23122024;220;A;USD;6,1606;6,1612;1,0000;1,0000
24122024;220;A;USD;6,1527;6,1541;1,0000;1,0000
26122024;220;A;USD;6,1650;6,1656;1,0000;1,0000
27122024;220;A;USD;6,1985;6,1991;1,0000;1,0000
30122024;220;A;USD;6,1917;6,1923;1,0000;1,0000
31122024;220;A;USD;6,1917;6,1923;1,0000;1,0000
